file,kept_rows,dropped_rows,dropped_frac,rejected_short_cols,rejected_long_cols,rejected_non_numeric,rejected_jump
001_20_Cycles_1.0_Hz_20_Vpp.csv,1246,0,0.0,0,0,0,0
002_20_Cycles_1.1993539462092342_Hz_20_Vpp.csv,1040,0,0.0,0,0,0,0
003_20_Cycles_1.4384498882876628_Hz_20_Vpp.csv,867,0,0.0,0,0,0,0
004_20_Cycles_1.7252105499420405_Hz_20_Vpp.csv,722,0,0.0,0,0,0,0
005_20_Cycles_2.0691380811147897_Hz_20_Vpp.csv,602,0,0.0,0,0,0,0
006_20_Cycles_2.481628922836826_Hz_20_Vpp.csv,503,0,0.0,0,0,0,0
007_20_Cycles_2.976351441631318_Hz_20_Vpp.csv,419,0,0.0,0,0,0,0
008_20_Cycles_3.5696988468260646_Hz_20_Vpp.csv,350,0,0.0,0,0,0,0
009_20_Cycles_4.281332398719393_Hz_20_Vpp.csv,291,0,0.0,0,0,0,0
010_20_Cycles_5.134832907437552_Hz_20_Vpp.csv,243,0,0.0,0,0,0,0
011_20_Cycles_6.158482110660264_Hz_20_Vpp.csv,203,0,0.0,0,0,0,0
012_20_Cycles_7.3861998220793605_Hz_20_Vpp.csv,169,0,0.0,0,0,0,0
013_20_Cycles_8.858667904100825_Hz_20_Vpp.csv,141,0,0.0,0,0,0,0
014_20_Cycles_10.624678308940409_Hz_20_Vpp.csv,118,0,0.0,0,0,0,0
015_20_Cycles_12.742749857031335_Hz_20_Vpp.csv,98,0,0.0,0,0,0,0
016_20_Cycles_15.283067326587688_Hz_20_Vpp.csv,82,0,0.0,0,0,0,0
017_20_Cycles_18.329807108324356_Hz_20_Vpp.csv,69,0,0.0,0,0,0,0
018_20_Cycles_21.983926488622892_Hz_20_Vpp.csv,57,0,0.0,0,0,0,0
019_20_Cycles_26.366508987303583_Hz_20_Vpp.csv,47,0,0.0,0,0,0,0
020_20_Cycles_31.622776601683793_Hz_20_Vpp.csv,39,0,0.0,0,0,0,0
