time_s,ensemble_average_voltage_v
0.000000000000000000e+00,2.494299146864149108e+00
2.999973484958498235e-02,2.494354248046875000e+00
5.999946969916996470e-02,2.494301266140408035e+00
8.999920454875494358e-02,2.494284311930338394e+00
1.199989393983399294e-01,2.494305504692925446e+00
1.499986742479249013e-01,2.494356367323133483e+00
1.799984090975098872e-01,2.494322458902994644e+00
2.099981439470948730e-01,2.494333055284288392e+00
2.399978787966798588e-01,2.494352128770616517e+00
2.699976136462648446e-01,2.494320339626736160e+00
2.999973484958498027e-01,2.494299146864149108e+00
3.299970833454348162e-01,2.494263119167751785e+00
3.599968181950197743e-01,2.494360605875650894e+00
3.899965530446047879e-01,2.494273715549045090e+00
4.199962878941897459e-01,2.494299146864149108e+00
4.499960227437747595e-01,2.494337293836805358e+00
4.799957575933597176e-01,2.494360605875650894e+00
5.099954924429447312e-01,2.494260999891492858e+00
5.399952272925296892e-01,2.494337293836805358e+00
5.699949621421146473e-01,2.494345770941840179e+00
5.999946969916996053e-01,2.494313981797960267e+00
6.299944318412846744e-01,2.494297027587890625e+00
6.599941666908696325e-01,2.494311862521701340e+00
6.899939015404545906e-01,2.494284311930338394e+00
7.199936363900395486e-01,2.494358486599392410e+00
7.499933712396246177e-01,2.494422064887152679e+00
7.799931060892095758e-01,2.494286431206597321e+00
8.099928409387945338e-01,2.494322458902994644e+00
8.399925757883794919e-01,2.494318220350477233e+00
8.699923106379644500e-01,2.494352128770616517e+00
8.999920454875495190e-01,2.494263119167751785e+00
9.299917803371344771e-01,2.494288550482855804e+00
9.599915151867194352e-01,2.494328816731770981e+00
9.899912500363043932e-01,2.494297027587890625e+00
1.019990984885889462e+00,2.494375440809461608e+00
1.049990719735474309e+00,2.494258880615234375e+00
1.079990454585059378e+00,2.494320339626736160e+00
1.109990189434644448e+00,2.494311862521701340e+00
1.139989924284229295e+00,2.494318220350477233e+00
1.169989659133814364e+00,2.494303385416666519e+00
1.199989393983399211e+00,2.494307623969183929e+00
1.229989128832984280e+00,2.494311862521701340e+00
1.259988863682569349e+00,2.494305504692925446e+00
1.289988598532154196e+00,2.494311862521701340e+00
1.319988333381739265e+00,2.494318220350477233e+00
1.349988068231324334e+00,2.494371202256944642e+00
1.379987803080909181e+00,2.494375440809461608e+00
1.409987537930494250e+00,2.494324578179253571e+00
1.439987272780079097e+00,2.494273715549045090e+00
1.469987007629664166e+00,2.494392395019531250e+00
1.499986742479249235e+00,2.494345770941840179e+00
1.529986477328834082e+00,2.494352128770616517e+00
1.559986212178419152e+00,2.494377560085720535e+00
1.589985947028003999e+00,2.494299146864149108e+00
1.619985681877589068e+00,2.494303385416666519e+00
1.649985416727174137e+00,2.494260999891492858e+00
1.679985151576758984e+00,2.494409349229600892e+00
1.709984886426344053e+00,2.494292789035373215e+00
1.739984621275928900e+00,2.494246164957682144e+00
1.769984356125513969e+00,2.494324578179253571e+00
1.799984090975099038e+00,2.494318220350477233e+00
1.829983825824683885e+00,2.494305504692925446e+00
1.859983560674268954e+00,2.494405110677083481e+00
1.889983295523854023e+00,2.494284311930338394e+00
1.919983030373438870e+00,2.494411468505859375e+00
1.949982765223023939e+00,2.494366963704427231e+00
1.979982500072608786e+00,2.494328816731770981e+00
2.009982234922193634e+00,2.494354248046875000e+00
2.039981969771778925e+00,2.494294908311632142e+00
2.069981704621363772e+00,2.494322458902994644e+00
2.099981439470948619e+00,2.494322458902994644e+00
2.129981174320533910e+00,2.494320339626736160e+00
2.159980909170118757e+00,2.494303385416666519e+00
2.189980644019703604e+00,2.494320339626736160e+00
2.219980378869288895e+00,2.494299146864149108e+00
2.249980113718873742e+00,2.494360605875650894e+00
2.279979848568458589e+00,2.494339413113064285e+00
2.309979583418043880e+00,2.494396633572048660e+00
2.339979318267628727e+00,2.494292789035373215e+00
2.369979053117213574e+00,2.494316101074218750e+00
2.399978787966798421e+00,2.494345770941840179e+00
2.429978522816383713e+00,2.494335174560546875e+00
2.459978257665968560e+00,2.494333055284288392e+00
2.489977992515553407e+00,2.494333055284288392e+00
2.519977727365138698e+00,2.494292789035373215e+00
2.549977462214723545e+00,2.494339413113064285e+00
2.579977197064308392e+00,2.494356367323133483e+00
2.609976931913893683e+00,2.494301266140408035e+00
2.639976666763478530e+00,2.494324578179253571e+00
2.669976401613063377e+00,2.494333055284288392e+00
2.699976136462648668e+00,2.494343651665581696e+00
2.729975871312233515e+00,2.494337293836805358e+00
2.759975606161818362e+00,2.494290669759114731e+00
2.789975341011403209e+00,2.494358486599392410e+00
2.819975075860988500e+00,2.494343651665581696e+00
2.849974810710573347e+00,2.494195302327474106e+00
2.879974545560158194e+00,2.494292789035373215e+00
2.909974280409743486e+00,2.494326697455512054e+00
2.939974015259328333e+00,2.494328816731770981e+00
2.969973750108913180e+00,2.494358486599392410e+00
2.999973484958498471e+00,2.494352128770616517e+00
3.029973219808083318e+00,2.494339413113064285e+00
3.059972954657668165e+00,2.494301266140408035e+00
3.089972689507253012e+00,2.494313981797960267e+00
3.119972424356838303e+00,2.494330936008029465e+00
3.149972159206423150e+00,2.494337293836805358e+00
3.179971894056007997e+00,2.494277954101562500e+00
3.209971628905593288e+00,2.494343651665581696e+00
3.239971363755178135e+00,2.494311862521701340e+00
3.269971098604762982e+00,2.494297027587890625e+00
3.299970833454348274e+00,2.494275834825304017e+00
3.329970568303933121e+00,2.494297027587890625e+00
3.359970303153517968e+00,2.494288550482855804e+00
3.389970038003103259e+00,2.494246164957682144e+00
3.419969772852688106e+00,2.494341532389322769e+00
3.449969507702272953e+00,2.494303385416666519e+00
3.479969242551857800e+00,2.494407229953341965e+00
3.509968977401443091e+00,2.494369082980685715e+00
3.539968712251027938e+00,2.494333055284288392e+00
3.569968447100612785e+00,2.494366963704427231e+00
3.599968181950198076e+00,2.494383917914496429e+00
3.629967916799782923e+00,2.494417826334635269e+00
3.659967651649367770e+00,2.494354248046875000e+00
3.689967386498953061e+00,2.494318220350477233e+00
3.719967121348537908e+00,2.494333055284288392e+00
3.749966856198122755e+00,2.494390275743272767e+00
3.779966591047708047e+00,2.494411468505859375e+00
3.809966325897292894e+00,2.494362725151909821e+00
3.839966060746877741e+00,2.494337293836805358e+00
3.869965795596462588e+00,2.494379679361979019e+00
3.899965530446047879e+00,2.494390275743272767e+00
3.929965265295632726e+00,2.494339413113064285e+00
3.959965000145217573e+00,2.494360605875650894e+00
3.989964734994802864e+00,2.494364844428168304e+00
4.019964469844387267e+00,2.494375440809461608e+00
4.049964204693973002e+00,2.494381798638237946e+00
4.079963939543557849e+00,2.494299146864149108e+00
4.109963674393142696e+00,2.494345770941840179e+00
4.139963409242727543e+00,2.494360605875650894e+00
4.169963144092312390e+00,2.494405110677083481e+00
4.199962878941897237e+00,2.494339413113064285e+00
4.229962613791482973e+00,2.494330936008029465e+00
4.259962348641067820e+00,2.494411468505859375e+00
4.289962083490652667e+00,2.494371202256944642e+00
4.319961818340237514e+00,2.494396633572048660e+00
4.349961553189822361e+00,2.494335174560546875e+00
4.379961288039407208e+00,2.494324578179253571e+00
4.409961022888992055e+00,2.494343651665581696e+00
4.439960757738577790e+00,2.494335174560546875e+00
4.469960492588162637e+00,2.494271596272786606e+00
4.499960227437747484e+00,2.494271596272786606e+00
4.529959962287332331e+00,2.494316101074218750e+00
4.559959697136917178e+00,2.494356367323133483e+00
4.589959431986502025e+00,2.494350009494357590e+00
4.619959166836087761e+00,2.494354248046875000e+00
4.649958901685672608e+00,2.494307623969183929e+00
4.679958636535257455e+00,2.494364844428168304e+00
4.709958371384842302e+00,2.494305504692925446e+00
4.739958106234427149e+00,2.494294908311632142e+00
4.769957841084011996e+00,2.494402991400824554e+00
4.799957575933596843e+00,2.494273715549045090e+00
4.829957310783182578e+00,2.494311862521701340e+00
