frequency_hz,ensemble_average_psd_v2_per_hz
0.000000000000000000e+00,1.866478708842219021e+03
3.333362794750947648e-03,3.288499458729420843e-09
6.666725589501895297e-03,1.208180906869832942e-09
1.000008838425284208e-02,1.414128074245192276e-09
1.333345117900379059e-02,5.777032194415199656e-10
1.666681397375473911e-02,1.323692003081428337e-09
2.000017676850568416e-02,7.509096191235743353e-10
2.333353956325663267e-02,3.381986863006611993e-09
2.666690235800758119e-02,2.353483432364688102e-10
3.000026515275852970e-02,1.229925198423956630e-10
3.333362794750947822e-02,7.632420069344701002e-10
3.666699074226042326e-02,1.736855148236327107e-09
4.000035353701136831e-02,7.467081363594503358e-11
4.333371633176232030e-02,9.719913545824921752e-10
4.666707912651326534e-02,4.144642524728046846e-10
5.000044192126421733e-02,5.532746917267551408e-10
5.333380471601516237e-02,1.307262525237209830e-09
5.666716751076610742e-02,4.619726775988190736e-10
6.000053030551705940e-02,1.637355273370288900e-11
6.333389310026800445e-02,4.575960170608012614e-10
6.666725589501895644e-02,1.161754903342341920e-09
7.000061868976989454e-02,7.933806898438156104e-11
7.333398148452084653e-02,9.556207943249723382e-11
7.666734427927179851e-02,3.448081536831913668e-11
8.000070707402273662e-02,5.380084735006932544e-11
8.333406986877368861e-02,7.115723447413320223e-11
8.666743266352464059e-02,6.698844095758609348e-10
9.000079545827559258e-02,2.370296623624490700e-10
9.333415825302653068e-02,1.546383440595070848e-10
9.666752104777748267e-02,3.180844301578891075e-11
1.000008838425284347e-01,9.821941203769907146e-10
1.033342466372793728e-01,2.564524567810118882e-10
1.066676094320303247e-01,2.537468853858377321e-10
1.100009722267812767e-01,1.959697180948161997e-10
1.133343350215322148e-01,1.252059589405936203e-10
1.166676978162831668e-01,2.759108376324591674e-11
1.200010606110341188e-01,5.953804168419069067e-11
1.233344234057850569e-01,7.497092338704602580e-10
1.266677862005360089e-01,2.844830316175629975e-10
1.300011489952869470e-01,4.483597265929699669e-11
1.333345117900379129e-01,9.169269801197134770e-11
1.366678745847888510e-01,3.123910982202980952e-10
1.400012373795397891e-01,4.577133005029484247e-11
1.433346001742907549e-01,1.979020510690862777e-11
1.466679629690416931e-01,1.106959874543078129e-10
1.500013257637926312e-01,4.955376698900469149e-11
1.533346885585435970e-01,5.073400233676148289e-10
1.566680513532945351e-01,2.677908811342389522e-10
1.600014141480454732e-01,2.791324990273752045e-10
1.633347769427964391e-01,5.362593938964534184e-11
1.666681397375473772e-01,3.980383026438697034e-10
1.700015025322983431e-01,4.025462087983793763e-10
1.733348653270492812e-01,5.023894306521741044e-11
1.766682281218002193e-01,1.107363377187410815e-10
1.800015909165511852e-01,2.188414040380388052e-10
1.833349537113021233e-01,2.098152610972351619e-10
1.866683165060530614e-01,1.616512286421960829e-10
1.900016793008040272e-01,2.072150489968410113e-10
1.933350420955549653e-01,5.986567732013660522e-10
