frequency_hz,pad_01_psd_v2_per_hz,pad_02_psd_v2_per_hz,pad_03_psd_v2_per_hz,pad_04_psd_v2_per_hz,pad_05_psd_v2_per_hz,pad_06_psd_v2_per_hz,pad_07_psd_v2_per_hz,pad_08_psd_v2_per_hz,pad_09_psd_v2_per_hz,pad_10_psd_v2_per_hz,pad_11_psd_v2_per_hz,pad_12_psd_v2_per_hz,pad_13_psd_v2_per_hz,pad_14_psd_v2_per_hz,pad_15_psd_v2_per_hz,pad_16_psd_v2_per_hz,pad_17_psd_v2_per_hz,pad_18_psd_v2_per_hz,pad_19_psd_v2_per_hz,pad_20_psd_v2_per_hz,pad_21_psd_v2_per_hz,pad_22_psd_v2_per_hz,pad_23_psd_v2_per_hz,pad_24_psd_v2_per_hz,pad_25_psd_v2_per_hz,pad_26_psd_v2_per_hz,pad_27_psd_v2_per_hz,pad_28_psd_v2_per_hz,pad_29_psd_v2_per_hz,pad_30_psd_v2_per_hz,pad_31_psd_v2_per_hz,pad_32_psd_v2_per_hz,pad_33_psd_v2_per_hz,pad_34_psd_v2_per_hz,pad_35_psd_v2_per_hz,pad_36_psd_v2_per_hz
0.000000000000000000e+00,1.857075566469637579e+03,1.857781194988132256e+03,1.837191618661513075e+03,1.862889061282690136e+03,1.860671888345121715e+03,1.894042155106905511e+03,1.864508251887106780e+03,1.891893844810015935e+03,1.865841158007411195e+03,1.829630167136923774e+03,1.871849886058457741e+03,1.874039497809918885e+03,1.859012669684034563e+03,1.884188571714361615e+03,1.888625368045278265e+03,1.846608537601679245e+03,1.857918919235700741e+03,1.863478303363534224e+03,1.857088322405707004e+03,1.885292906641319405e+03,1.833384381640154743e+03,1.869488210876364519e+03,1.867929853128051263e+03,1.856380263403387062e+03,1.872470277816587213e+03,1.866187674243109086e+03,1.852703718139777948e+03,1.874499527292081893e+03,1.860172112954137674e+03,1.881675001478800596e+03,1.866954058357448730e+03,1.884236421930881761e+03,1.861135815485305329e+03,1.899781385008730922e+03,1.881452656135072175e+03,1.856393859597948904e+03
3.333362794750947648e-03,1.773880925846400498e-07,3.830035138156439840e-07,3.742397183049906016e-07,1.334340888202733274e-07,5.348225904071254124e-08,5.101429624408325653e-07,4.887897551433065358e-08,1.318991571346710082e-07,6.892249399982412353e-09,2.488207511578003307e-07,1.472944170695683769e-07,2.828318976164943998e-07,1.375993202463103878e-07,1.463718034029199762e-07,2.232140588663754754e-07,8.288939018340176464e-08,6.286815568026704652e-07,1.505884287251423806e-07,8.831711692322835841e-08,6.123579344531815083e-07,4.448106236513997899e-07,4.365583747707154945e-08,1.196477673460419059e-07,5.273377090651418200e-07,1.279515395872345240e-07,2.911861237592353026e-07,1.184649109736468685e-06,1.806685224076225527e-06,2.296202930649429936e-08,1.111806920561118589e-07,9.291736223147625101e-08,3.871053273809942611e-08,1.740785295467290016e-07,9.888614378718437401e-09,6.987123776685450871e-07,4.644484684134127018e-08
6.666725589501895297e-03,2.864730252552813093e-08,2.495964413134296847e-07,4.518179852014601440e-09,2.277891287162343547e-08,1.813589696283263102e-07,3.191189095723842490e-08,1.083001638700102836e-07,6.335139240228920611e-09,2.187617947228506488e-08,2.736034932596919172e-08,2.298052532240148863e-09,4.508245529891939855e-08,1.864136902849640168e-07,6.107067839970882724e-08,1.996789733710044267e-08,1.945117813107160915e-08,1.999853736359659458e-07,2.354063513520250729e-08,6.641199031075185367e-08,4.239273810063017801e-08,5.414986345915442320e-09,9.851075116955434162e-08,2.006060153023766451e-07,5.841978836161836469e-07,4.184446633938141591e-07,4.406175256204643983e-07,8.827817797875505240e-08,2.233179470104551754e-09,2.023787350069687321e-07,8.677281897924006691e-08,2.011913626464483002e-08,1.104413119993938251e-07,8.533657663240652678e-08,2.886056235245995253e-07,2.040625641182231138e-07,2.150167846839963727e-07
1.000008838425284208e-02,9.746263834812714098e-08,3.170150798619572233e-08,1.169830016312650315e-08,1.985125280905855884e-08,2.091587635833344393e-08,3.835778475804497183e-08,6.965513964581374451e-08,1.664687431467530116e-07,3.850199109515277297e-07,1.289951011963835164e-09,7.629699564029571655e-08,2.258672485531694178e-07,8.206265805025968116e-08,5.113264965281192141e-08,6.589840580683454923e-08,2.678179237940144701e-08,2.960675255933638366e-07,1.183492863806651050e-07,7.855748365632214085e-08,1.864304808901490980e-07,1.382108623616899125e-08,7.785485499954352015e-09,1.085634019431814996e-07,7.666803108057428901e-08,1.761083608879568280e-07,2.898001196072044844e-07,1.494433963037433984e-07,2.082297259887360015e-08,1.452748335813845274e-07,6.077727158086363587e-08,7.148614682968187031e-08,2.254371161563754437e-07,2.703850709717160230e-07,5.614314753024701143e-08,3.647846339630997669e-08,1.278519849785893075e-07
1.333345117900379059e-02,8.793805435858022834e-08,9.102146419123693857e-08,6.510447695198279082e-09,5.313103571386237667e-08,5.894307250036100684e-08,7.099542276394015694e-08,3.863859443712159860e-08,6.921152501287871618e-09,1.578704432495076257e-07,1.610178986726436867e-08,5.915617776151258069e-08,1.228019890005700034e-07,5.058147919905338971e-08,7.419334192712277202e-08,8.012436773612252381e-08,2.609422666648886171e-08,7.367451499798643448e-08,2.466984521960564182e-08,1.172844931136120080e-07,9.757701032330021787e-08,2.202818436768873014e-08,3.234788401923801972e-08,8.538585599441333612e-09,2.550915861750752243e-07,2.729847580350615735e-08,1.091984443811140824e-08,6.834661055962700815e-09,8.364944736112399069e-08,1.125313820468400216e-07,6.797658449343336588e-08,3.106044087635459695e-08,1.848645180142849260e-07,3.170199080290385589e-09,3.747293968630101200e-08,2.448871022408516353e-07,1.263488940127432943e-08
1.666681397375473911e-02,1.554974368361077899e-08,8.135866106435246321e-08,2.753679710622134800e-08,2.037376181871874108e-08,7.370234930448014186e-09,1.091638599922755151e-07,8.373811170719447552e-08,6.658228234062276964e-08,5.984460222586511036e-09,2.329486061292849189e-08,2.811661995216440744e-08,2.982870220181229613e-08,1.132792696955168396e-08,5.017034853278609652e-08,2.991656236876376280e-08,1.705793683580906097e-07,2.049831894277795116e-07,9.920902051648022714e-09,1.987049606022086075e-08,5.240816901592182996e-08,2.947632452819278482e-08,3.812805122939251192e-08,2.795545075553159343e-08,7.221153584638200809e-08,1.792937001042897745e-08,3.778052175629034944e-08,8.754775404502450798e-09,9.333689342308355334e-08,1.987470202945387197e-08,6.114764212074899129e-08,3.439209789959497031e-08,3.652463872573715579e-08,4.899173436082612340e-08,4.425019914108996842e-09,5.625437523232201709e-09,3.996080680772779681e-09
2.000017676850568416e-02,1.430792372481093900e-07,3.766710089964025234e-08,7.082342286874921153e-08,2.218413943343998073e-08,6.629780502034251186e-08,1.129839912021890921e-08,5.919701105199908048e-09,1.566591048454214739e-08,1.654254603226935679e-08,2.102824911220587688e-08,2.637707149706328368e-08,1.397096579730373814e-07,1.479542385959662548e-10,8.910819412361381305e-08,4.493303341062775892e-08,1.187651838635297680e-07,2.371043066594907886e-08,2.331994538328935567e-08,2.309468511120786043e-08,1.180688039221015003e-08,1.876589588580642672e-08,2.047159747077759363e-08,4.788228581110664011e-08,1.878431317011139151e-07,8.741410221401133174e-09,1.124549077386797319e-08,1.791475280547519084e-09,2.782915218361272766e-08,1.144198414397327544e-07,2.034594600755157170e-08,1.070925084454036960e-08,7.051304425437886177e-08,5.877885206389836618e-09,4.654124493800875721e-08,9.591693029708101245e-09,1.070445979433709299e-09
2.333353956325663267e-02,5.507465658463955701e-09,5.126454886080957846e-08,4.579820410917012238e-08,5.088034399893220922e-08,3.041652036476837227e-08,9.717582856992478600e-09,1.116611299888455661e-09,1.863858642869170272e-07,3.721704571282357392e-09,8.877677220139533952e-08,2.976877842443271723e-08,6.204560957458622545e-08,6.586193292684431163e-08,1.766853294181047860e-08,1.066919105817555039e-10,1.737341298455153063e-08,1.185412214599408658e-08,5.878791179572622751e-08,5.285548008481874263e-08,2.951640959254373699e-08,6.183457340134349069e-08,1.014250650637069039e-08,1.406091360357422747e-08,2.002775303312875865e-07,2.694073196319525057e-08,1.121325949714565867e-08,7.628554318113940418e-09,6.820730154002929980e-08,1.010501110988557732e-07,1.692266267631320876e-08,2.006639074756808616e-08,5.912977007537574000e-09,9.897748880859805654e-08,1.672417428563930320e-07,2.990794783606887190e-08,3.740930014154434461e-09
2.666690235800758119e-02,5.494103671986925770e-09,1.858831994959279156e-08,3.090042718218988418e-08,4.818563403896720938e-08,2.636106389750124201e-08,1.272861234134809516e-08,4.546498080476185807e-08,9.984981960361624784e-08,6.023089619503710341e-09,2.071336826437343511e-08,6.324719121552044134e-08,1.094025843807126729e-07,1.144702881987165180e-08,2.329534688751749471e-08,7.921583689508520584e-08,7.607618205951952045e-08,1.413423184584735446e-08,4.362528091198066603e-08,8.690799027855438470e-08,6.755818610738476405e-09,4.212917253795345192e-08,2.491592717547052425e-08,2.519729153283914230e-08,7.276292266499681474e-08,4.721206073016215239e-08,1.151549283420240340e-07,4.396160566990527860e-08,1.016874354253611284e-08,1.622635605187831973e-08,9.133449361735680456e-08,1.537872855930141464e-08,5.803863633252788759e-08,1.660344401905957714e-08,5.426741648219031262e-09,1.440338672834538767e-08,7.016125140193521167e-08
3.000026515275852970e-02,4.178040617791931486e-08,1.922276346446948020e-09,1.152958284752818238e-08,4.017235560014503275e-08,1.733386416945859386e-08,3.878226665869171204e-08,2.206537228153888443e-08,9.408703117952077230e-09,3.346176661655571524e-09,1.496745479198449447e-08,8.067672052236789381e-09,8.099610391011633403e-09,7.760502029473254423e-08,6.217117464895666542e-08,5.037586084490846351e-09,7.066896014774187840e-08,1.753142774309051384e-08,9.001025440525122627e-10,2.309083675440553567e-08,3.690881121559303203e-08,1.354070710672464045e-08,1.177402872157867549e-07,3.266936907858491245e-08,1.088350096032139983e-08,1.434796474394675615e-07,1.501701961590176215e-07,1.003136861182710582e-07,1.290097734685919793e-08,2.364226094133773039e-09,2.962043695691243342e-08,4.882044101630970926e-10,2.186981747169632344e-09,6.455746506225719258e-08,6.482276879985459150e-08,5.339643379180915150e-09,1.068913463896893114e-07
