distance_cm,distance_m,pad_01_magnetic_field_mt,pad_02_magnetic_field_mt,pad_03_magnetic_field_mt,pad_04_magnetic_field_mt,pad_05_magnetic_field_mt,pad_06_magnetic_field_mt,pad_07_magnetic_field_mt,pad_08_magnetic_field_mt,pad_09_magnetic_field_mt,pad_10_magnetic_field_mt,pad_11_magnetic_field_mt,pad_12_magnetic_field_mt,pad_13_magnetic_field_mt,pad_14_magnetic_field_mt,pad_15_magnetic_field_mt,pad_16_magnetic_field_mt,pad_17_magnetic_field_mt,pad_18_magnetic_field_mt,pad_19_magnetic_field_mt,pad_20_magnetic_field_mt,pad_21_magnetic_field_mt,pad_22_magnetic_field_mt,pad_23_magnetic_field_mt,pad_24_magnetic_field_mt,pad_25_magnetic_field_mt,pad_26_magnetic_field_mt,pad_27_magnetic_field_mt,pad_28_magnetic_field_mt,pad_29_magnetic_field_mt,pad_30_magnetic_field_mt,pad_31_magnetic_field_mt,pad_32_magnetic_field_mt,pad_33_magnetic_field_mt,pad_34_magnetic_field_mt,pad_35_magnetic_field_mt,pad_36_magnetic_field_mt
3.000000000000000000e+01,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.700000000000000178e-01,3.403999999988670533e-01,2.359409594097876262e-02,2.361519339764533987e-02,-6.546007184319854039e-03,-7.757266049162244229e-03,-3.911506080477912539e-02,5.816195121948537772e-02,2.069595782076693105e-02,8.378345312756753371e-03,4.974015087999957181e-03,3.062908496735321749e-03,-6.702073274560010376e-03,6.669616026691500832e-02,2.402925300575475191e-04,7.600244623383537422e-03,6.273297952990843085e-03,-7.359107986905892226e-03,-7.608072133973380058e-02,-4.286500655311015900e-02,2.788514129443967274e-02,-2.734117025545049033e-04,-5.835636102624215497e-03,-1.543451511537401934e-05,4.021362113878133859e-02,6.058200001202167329e+01,1.284968027545932978e-01,2.767379679147835211e-02,-3.633911368098013527e-03,1.049067035245680041e-01,3.189368541902120602e-01,-2.829084249088564262e-01,-8.301562500004530110e-01,5.276470588219728253e-01,-1.565546218494144881e-01,-1.570344827590585968e-01,1.372659574467143262e-01
2.400000000000000000e+01,2.399999999999999911e-01,1.304214559387340266e-01,-2.057386435937990851e-02,8.670749143728626387e-03,3.680622385686661141e-02,5.072467758455294351e-02,8.057159446459027929e-02,1.009756097553081260e-02,2.592570147261925514e-02,1.947585046750271998e-02,1.218241466022913777e-02,3.703093306290331649e-02,-4.696451830774675540e-03,1.288958609175836489e-01,6.939482548500937667e-03,1.562197955146946669e-02,1.169992941361405400e-02,-2.090655678094780270e-03,-6.252202365973641429e-02,-4.443666109359072081e-02,4.149875836925002309e-02,1.288491931559920898e-03,2.739501413854947796e-03,2.297879971772232716e-02,4.732941493528937393e-02,1.344310345092442276e+02,1.498626117338054120e-01,2.656048312746776136e-02,3.812703474839654327e-02,1.083597454900691037e-01,2.429846787282282095e-01,-1.166414045729936982e-01,-8.067349137929377134e-01,1.913945233264822798e+00,-6.408142567372551168e-01,-9.383917954859375410e-01,-4.056217901698919714e-01
2.100000000000000000e+01,2.099999999999999922e-01,7.720301783251845018e-01,1.784383399395251743e-02,2.430534840297963323e-02,5.119977212176168163e-02,7.588038373728449304e-02,1.053459446349663126e-01,1.767696476962259955e-01,4.411464774676889661e-02,1.631011650893711071e-02,1.465570767749444468e-02,4.479065803275645435e-02,1.402011213155220440e-02,1.609488035613465817e-01,2.717382191522624973e-02,1.622347553956395363e-02,1.618583101675193786e-02,2.461295376094138967e-02,8.010114021221726235e-03,7.898888403457490770e-02,6.694970570692411471e-02,9.012459824768746797e-03,1.039657697054171409e-02,1.813555530703906890e-02,1.149381797130512028e-01,9.830370372304008697e+01,1.599160153757463732e-01,6.314864329581383606e-02,8.632499980169515419e-02,1.947426348255933137e-01,5.386422587913212157e-01,-2.940917107586462076e-01,-1.127372685186234236e+00,8.906862745105335044e-01,-8.784573088484295411e-01,-1.007167943809902599e+00,-6.601851851849636077e-01
1.800000000000000000e+01,1.799999999999999933e-01,1.363909465020697764e+00,1.079117124505628439e-01,4.707334857980897957e-02,5.098008112189750252e-02,9.016407017046013106e-02,1.800921595120278107e-01,6.419555555555030324e+00,1.337196149478928175e+00,2.894003500367282877e-02,9.365848105714232041e-03,8.262754175743802776e-02,1.383261278887756018e-01,2.261531564952885265e-01,2.260529727016937288e-02,2.874381363321825908e-02,7.252688624925078889e-03,1.933727449421089942e-02,1.086303134392371667e-01,6.335857482626251758e-02,1.075362661354571786e-01,1.090271357076040212e-02,9.825924375232384864e-03,1.986955639230737411e-02,2.085879888076629940e-01,3.392074074744755876e+02,3.447004062597298080e-01,1.503078167293940282e-01,6.334633713141094025e-02,3.224909775013346525e-01,6.563953735593064387e-01,-5.358137747030764508e-01,-2.574633487656087460e+00,1.697440087149022725e+00,-1.736990351695566925e+00,-2.307710727973492304e+00,2.718676122892553070e-03
1.500000000000000000e+01,1.499999999999999944e-01,2.236111111112268013e+00,7.129151291512791921e-02,5.660236651089368964e-02,9.469466703509996086e-02,1.504072181411644782e-01,2.952993451822513160e-01,3.820243902438415495e-01,7.579086115989254469e-02,3.719605444258756999e-02,3.542539815590955293e-02,8.385416666666707652e-02,1.068020448736333033e-01,3.614148580968207236e-01,7.809507226194727092e-02,4.876159412903599555e-02,3.337528430627828557e-02,5.686583444430068357e-02,8.147273507936750314e-02,6.285058977718764872e-01,1.672060164083150335e-01,5.331528199708870236e-02,4.704826843711188561e-02,8.604742198863431224e-02,2.760513583923534520e-01,4.899000000969942903e+02,4.361288735857156151e-01,2.152406417112198711e-01,1.565831727680946084e-01,3.302176917761374120e-01,7.248564867965819891e-01,-3.917582417586340515e-01,-2.165234375002436540e+00,9.741176470623743811e+00,-1.729831932773334024e+00,-2.646982758627813848e+00,-1.339627659575868268e+00
1.200000000000000000e+01,1.199999999999999956e-01,2.765111111111351327e+00,1.777195571956281805e-01,1.127244705180586587e-01,1.572948328267181339e-01,2.291919514531901847e-01,5.279887745557805268e-01,5.910439024387557083e-01,1.360867018160238640e-01,7.755773053983781862e-02,6.497066219614153204e-02,1.190400326797391301e-01,2.529934677649190444e-01,3.922287145241376560e-01,1.023646177955566394e-01,6.008459891959629096e-02,5.446762699012985126e-02,8.095018785603297351e-02,1.309489051094598067e-01,1.026408912188842670e+00,2.438377392889480855e-01,1.035318980319425292e-01,8.835994975776467752e-02,1.218554971479934718e-01,3.777409750651050113e-01,5.947800001176301521e+02,7.429463846533688187e-01,2.850401069518762043e-01,1.895247270391463290e-01,5.054595715273580980e-01,9.118140068878693993e-01,-7.135897435897435859e-01,-2.565937500001400196e+00,1.369852941180921135e+01,-2.750336134454906212e+00,-4.026982758632176029e+00,-2.092021276596476298e+00
9.000000000000000000e+00,8.999999999999999667e-02,5.940430107528727355e+00,6.375443399594437066e-01,3.778692100190405023e-01,3.719415450712388327e-01,5.250301356878031012e-01,1.031387489061224461e+00,1.194226593233625122e+00,4.098682842942835691e-01,2.076886078072591180e-01,1.941206094692180528e-01,3.108824847143504821e-01,7.125298897856141567e-01,1.045181485271362343e+00,3.396069829750760771e-01,1.992094127394946623e-01,1.770418939078899634e-01,2.750223824287196805e-01,6.206263244643280830e-01,2.288963345030187835e+00,5.205384185609037706e-01,2.887433372673914311e-01,2.521289280690889312e-01,3.924474421927272028e-01,9.370835684359573037e-01,8.415774195214386282e+02,1.180071561176009531e+00,6.365965154389696679e-01,6.196852922286196774e-01,9.469291303476123911e-01,1.900112958778160444e+00,-6.279274488953300315e-01,-3.018750000001647393e+00,2.099786527522158863e+01,-3.618338303063886485e+00,-5.138542825374794454e+00,-2.547246053536248667e+00
6.000000000000000000e+00,5.999999999999999778e-02,7.471805555558528766e+00,1.060588560885610265e+00,7.068606443273303119e-01,6.750013815971114273e-01,8.514536090705462357e-01,1.350470065481800930e+00,1.632270731707145872e+00,7.267333040421832813e-01,4.728383544884626200e-01,4.507098700754355591e-01,5.862275326797522501e-01,1.058614030105080150e+00,1.440403797996832047e+00,6.584465871495969180e-01,4.460630924472575032e-01,4.234842304776305633e-01,5.551213489274139379e-01,9.658222413052681699e-01,2.772208387942609153e+00,8.339858705560707630e-01,5.720570268128313263e-01,5.474520007177416936e-01,6.960966334861942162e-01,1.237737253442611873e+00,7.384725001460677731e+02,1.507529513034982838e+00,9.760778743315409178e-01,9.609184328837305777e-01,1.275689357291056591e+00,2.233191733638484777e+00,-4.265109890112832591e-01,-2.660273437501451621e+00,1.977661764712976122e+01,-2.480231092437649831e+00,-3.812844827595554431e+00,-1.785099734043422481e+00
3.000000000000000000e+00,2.999999999999999889e-02,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.150000000000000133e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.150000000000000133e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00,1.149999999999999911e+00
