pad,raw_voltage_at_30cm_v,baseline_referenced_voltage_at_3cm_v,normalization_factor,target_normalized_voltage_v,calibration_field_mt
1.000000000000000000e+00,2.487111772809709631e+00,-2.452305385043374031e-04,2.881491769548813053e+01,-7.066297783422714751e-03,1.149999999999999911e+00
2.000000000000000000e+00,2.487441471644810331e+00,-3.692081996372831298e-03,1.913905972393022292e+00,-7.066297783422714751e-03,1.149999999999999911e+00
3.000000000000000000e+00,2.473120008196149744e+00,-9.134383428664794025e-03,7.735932959905998940e-01,-7.066297783422714751e-03,1.149999999999999911e+00
4.000000000000000000e+00,2.490842001778738712e+00,-9.860992431640625000e-03,7.165909346760402920e-01,-7.066297783422714751e-03,1.149999999999999911e+00
5.000000000000000000e+00,2.488850184849330294e+00,-5.687531970796300129e-03,1.242418999964474358e+00,-7.066297783422714751e-03,1.149999999999999911e+00
6.000000000000000000e+00,2.511040823800223087e+00,-1.941862560453699871e-03,3.638927866126495214e+00,-7.066297783422714751e-03,1.149999999999999911e+00
7.000000000000000000e+00,2.491891043526785587e+00,-1.861935570126593831e-03,3.795135501354793828e+00,-7.066297783422714751e-03,1.149999999999999911e+00
8.000000000000000000e+00,2.510659354073660587e+00,-9.302411760602424806e-03,7.596199743973814922e-01,-7.066297783422714751e-03,1.149999999999999911e+00
9.000000000000000000e+00,2.492632184709821619e+00,-2.375648135230656877e-02,2.974471546787644249e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.000000000000000000e+01,2.467476981026785587e+00,-2.600533621651779370e-02,2.717249154015712875e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.100000000000000000e+01,2.496626717703683163e+00,-1.334054129464279370e-02,5.296859870491426037e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.200000000000000000e+01,2.497904641287667538e+00,-3.197987874349106363e-03,2.209607434756435396e+00,-7.066297783422714751e-03,1.149999999999999911e+00
1.300000000000000000e+01,2.488877432686941837e+00,-2.176193963913330975e-03,3.247090057503779104e+00,-7.066297783422714751e-03,1.149999999999999911e+00
1.400000000000000000e+01,2.504610334123884119e+00,-1.043228876023061247e-02,6.773487530713738769e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.500000000000000000e+01,2.507822854178292538e+00,-2.673285348074783130e-02,2.643300981136055272e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.600000000000000000e+01,2.479692186628069006e+00,-2.994991484142461857e-02,2.359371577794641406e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.700000000000000000e+01,2.486506870814732206e+00,-1.498812720889119987e-02,4.714596883879443312e-01,-7.066297783422714751e-03,1.149999999999999911e+00
1.800000000000000000e+01,2.490659441266740881e+00,-4.230680919828699871e-03,1.670250703687866212e+00,-7.066297783422714751e-03,1.149999999999999911e+00
1.900000000000000000e+01,2.486711229596819006e+00,-6.930033365883936369e-04,1.019662880442913711e+01,-7.066297783422714751e-03,1.149999999999999911e+00
2.000000000000000000e+01,2.505912780761718750e+00,-5.978175571986543702e-03,1.182015766906388876e+00,-7.066297783422714751e-03,1.149999999999999911e+00
2.100000000000000000e+01,2.470997401646205294e+00,-1.375289190383188753e-02,5.138045025609394578e-01,-7.066297783422714751e-03,1.149999999999999911e+00
2.200000000000000000e+01,2.495021820068359375e+00,-1.518521990094878760e-02,4.653404975044981295e-01,-7.066297783422714751e-03,1.149999999999999911e+00
2.300000000000000000e+01,2.493948255266462244e+00,-8.120763869512881428e-03,8.701518597223516505e-01,-7.066297783422714751e-03,1.149999999999999911e+00
2.400000000000000000e+01,2.486013684953962244e+00,-2.440497988746237468e-03,2.895432742008896110e+00,-7.066297783422714751e-03,1.149999999999999911e+00
2.500000000000000000e+01,2.497384207589285587e+00,-1.816522507080975402e-06,3.890013889658741846e+03,-7.066297783422714751e-03,1.149999999999999911e+00
2.600000000000000000e+01,2.493245261056082462e+00,-1.846495128813074871e-03,3.826870525223060593e+00,-7.066297783422714751e-03,1.149999999999999911e+00
2.700000000000000000e+01,2.484572274344308163e+00,-4.076276506696618895e-03,1.733517775797104754e+00,-7.066297783422714751e-03,1.149999999999999911e+00
2.800000000000000000e+01,2.498776572091238712e+00,-4.242488316127168702e-03,1.665602178929112664e+00,-7.066297783422714751e-03,1.149999999999999911e+00
2.900000000000000000e+01,2.489100864955357206e+00,-2.628508068266199871e-03,2.688330261844599001e+00,-7.066297783422714751e-03,1.149999999999999911e+00
3.000000000000000000e+01,2.503321511404855038e+00,-7.910955519907503231e-04,8.932293659900814475e+00,-7.066297783422714751e-03,1.149999999999999911e+00
3.100000000000000000e+01,2.493871961321149744e+00,7.438659667968750000e-04,-9.499423416090072791e+00,-7.066297783422714751e-03,1.149999999999999911e+00
3.200000000000000000e+01,2.505569458007812500e+00,3.487723214283811046e-04,-2.026048900464066449e+01,-7.066297783422714751e-03,1.149999999999999911e+00
3.300000000000000000e+01,2.489934648786272131e+00,-6.176176525274357232e-05,1.144121732030451710e+02,-7.066297783422714751e-03,1.149999999999999911e+00
3.400000000000000000e+01,2.514852796282087244e+00,3.242492675781250000e-04,-2.179279489573604778e+01,-7.066297783422714751e-03,1.149999999999999911e+00
3.500000000000000000e+01,2.503155299595424488e+00,2.107166108626934431e-04,-3.353460249048536213e+01,-7.066297783422714751e-03,1.149999999999999911e+00
3.600000000000000000e+01,2.486288888113839413e+00,3.415062313987249354e-04,-2.069156323877578885e+01,-7.066297783422714751e-03,1.149999999999999911e+00
