distance_cm,distance_m,pad_01_baseline_referenced_voltage_v,pad_02_baseline_referenced_voltage_v,pad_03_baseline_referenced_voltage_v,pad_04_baseline_referenced_voltage_v,pad_05_baseline_referenced_voltage_v,pad_06_baseline_referenced_voltage_v,pad_07_baseline_referenced_voltage_v,pad_08_baseline_referenced_voltage_v,pad_09_baseline_referenced_voltage_v,pad_10_baseline_referenced_voltage_v,pad_11_baseline_referenced_voltage_v,pad_12_baseline_referenced_voltage_v,pad_13_baseline_referenced_voltage_v,pad_14_baseline_referenced_voltage_v,pad_15_baseline_referenced_voltage_v,pad_16_baseline_referenced_voltage_v,pad_17_baseline_referenced_voltage_v,pad_18_baseline_referenced_voltage_v,pad_19_baseline_referenced_voltage_v,pad_20_baseline_referenced_voltage_v,pad_21_baseline_referenced_voltage_v,pad_22_baseline_referenced_voltage_v,pad_23_baseline_referenced_voltage_v,pad_24_baseline_referenced_voltage_v,pad_25_baseline_referenced_voltage_v,pad_26_baseline_referenced_voltage_v,pad_27_baseline_referenced_voltage_v,pad_28_baseline_referenced_voltage_v,pad_29_baseline_referenced_voltage_v,pad_30_baseline_referenced_voltage_v,pad_31_baseline_referenced_voltage_v,pad_32_baseline_referenced_voltage_v,pad_33_baseline_referenced_voltage_v,pad_34_baseline_referenced_voltage_v,pad_35_baseline_referenced_voltage_v,pad_36_baseline_referenced_voltage_v,pad_01_reference_pad_field_mt,pad_02_reference_pad_field_mt,pad_03_reference_pad_field_mt,pad_04_reference_pad_field_mt,pad_05_reference_pad_field_mt,pad_06_reference_pad_field_mt,pad_07_reference_pad_field_mt,pad_08_reference_pad_field_mt,pad_09_reference_pad_field_mt,pad_10_reference_pad_field_mt,pad_11_reference_pad_field_mt,pad_12_reference_pad_field_mt,pad_13_reference_pad_field_mt,pad_14_reference_pad_field_mt,pad_15_reference_pad_field_mt,pad_16_reference_pad_field_mt,pad_17_reference_pad_field_mt,pad_18_reference_pad_field_mt,pad_19_reference_pad_field_mt,pad_20_reference_pad_field_mt,pad_21_reference_pad_field_mt,pad_22_reference_pad_field_mt,pad_23_reference_pad_field_mt,pad_24_reference_pad_field_mt,pad_25_reference_pad_field_mt,pad_26_reference_pad_field_mt,pad_27_reference_pad_field_mt,pad_28_reference_pad_field_mt,pad_29_reference_pad_field_mt,pad_30_reference_pad_field_mt,pad_31_reference_pad_field_mt,pad_32_reference_pad_field_mt,pad_33_reference_pad_field_mt,pad_34_reference_pad_field_mt,pad_35_reference_pad_field_mt,pad_36_reference_pad_field_mt
3.000000000000000000e+01,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.700000000000000178e-01,-7.258823939704228678e-05,-7.574898856033129846e-05,-1.875741141184050775e-04,5.613054548003759692e-05,3.836495535702866277e-05,6.604875837101786828e-05,-9.416852678567622092e-05,-1.674107142859426745e-04,-1.730782645092965311e-04,-1.124790736604097674e-04,-3.553118024557377908e-05,1.863752092612358524e-05,-1.262119838165709496e-04,-2.179827009118895376e-06,-1.766749790736987791e-04,-1.633780343190949225e-04,9.591238839279370154e-05,2.798897879467965311e-04,2.583095005581625969e-05,-1.449584960937500000e-04,3.269740513456298459e-06,7.705688476544736432e-05,1.089913501672867824e-07,-8.534022739947744185e-05,-9.569440569201503877e-05,-2.063206263951400388e-04,-9.809221540191259692e-05,1.340593610521523260e-05,-2.397809709822062985e-04,-2.193995884485211434e-04,-1.829964773998327132e-04,-2.517700195312500000e-04,-2.833775111588110462e-05,-4.414149693099389538e-05,-2.877371651788251938e-05,4.076276506692622092e-05,3.820188291025914274e-03,3.986532826239405115e-03,9.871687761087745427e-03,-2.954049504339878278e-03,-2.019078496159595285e-03,-3.476027183765024488e-03,4.955919945131754580e-03,8.810524346916478317e-03,9.108797306584651837e-03,5.919571045560406350e-03,1.869942016337194273e-03,-9.808591557963709708e-04,6.642309370887738811e-03,1.147203691103348662e-04,9.298085915582815497e-03,8.598291664063527351e-03,-5.047696240410673961e-03,-1.473009539250025660e-02,-1.359436373839441499e-03,7.628904545171177887e-03,-1.720805536538164973e-04,-4.055365047686909120e-03,-5.736018440325193511e-06,4.491302450273461713e-03,5.036224203506651370e-03,1.085828293534781344e-02,5.162416609521008719e-03,-7.055302699829847559e-04,1.261924060103837043e-02,1.154660514993970793e-02,9.630774985986426118e-03,1.325020263108678265e-02,1.491364798294123528e-03,2.323087474291465199e-03,1.514308872125539338e-03,-2.145270902173952200e-03
2.400000000000000000e+01,2.399999999999999911e-01,-2.781158597597865878e-05,6.605251669311584806e-05,-6.887125851529063425e-05,-3.156051259911585305e-04,-2.508680221482428863e-04,-1.360512719363882184e-04,-1.634870256683740308e-05,-2.097143915484878107e-04,-4.023284160448170610e-04,-2.754850340593861802e-04,-4.295762536563607625e-04,1.306017044111484893e-05,-2.439151256541371993e-04,-6.295190068916767245e-05,-3.631479047205843358e-04,-3.047059909464522320e-04,2.724783761154370154e-05,2.300093326663699145e-04,2.677804730844002279e-05,-2.157277074354979618e-04,-1.540912195974186716e-05,-3.617385338117173887e-05,-1.622655708803932839e-04,-1.004411669200955259e-04,-2.123452172488882184e-04,-2.406265935284146451e-04,-9.414597685131198546e-05,-1.406552169118668871e-04,-2.476734480834075214e-04,-1.671513900380894313e-04,-7.544832276629165335e-05,-2.446667901399024458e-04,-1.027901184378343657e-04,-1.806813507831961374e-04,-1.719432511357865678e-04,-1.204542338557601511e-04,1.463673674727855806e-03,-3.476224977487421715e-03,3.624570282373490177e-03,1.660972930207629469e-02,1.320273213352791443e-02,7.160133381768595852e-03,8.604027682457108823e-04,1.103689068240166007e-02,2.117381984861915062e-02,1.449828112940047473e-02,2.260782446236979382e-02,-6.873332458864215080e-04,1.283681371484010798e-02,3.313045142136118119e-03,1.911182011091314484e-02,1.603612745657136476e-02,-1.434004613750641897e-03,-1.210497687748786702e-02,-1.409280396300792697e-03,1.135336066614302426e-02,8.109543332992691670e-04,1.903764745858696700e-03,8.539744717092175724e-03,5.286037696910484557e-03,1.117534630027974298e-02,1.266374419248081883e-02,4.954733182703884367e-03,7.402430713043555398e-03,1.303460745467261914e-02,8.796876578855741466e-03,3.970709327068696996e-03,1.287637246280193618e-02,5.409658784276589333e-03,9.508934042238754297e-03,9.049063597162057201e-03,6.339289361508084440e-03
2.100000000000000000e+01,2.099999999999999922e-01,-1.646307620628562063e-04,-5.728773759594574244e-05,-1.930559753740013207e-04,-4.390265786038405338e-04,-3.752800943148670854e-04,-1.778846485063212413e-04,-2.862032128385649798e-04,-3.568457547951098263e-04,-3.369312858247930365e-04,-3.314144396906471002e-04,-5.195927157393143148e-04,-3.898795529888587907e-05,-3.045702737471955857e-04,-2.465088321206287958e-04,-3.771302561283995658e-04,-4.215341396429650445e-04,-3.207844190917796823e-04,-2.946803178716095317e-05,-4.759961755596009425e-05,-3.480322567033233838e-04,-1.077803354414541559e-04,-1.372820065346225249e-04,-1.280648367747438954e-04,-2.439186055824826838e-04,-1.552790350802801811e-04,-2.567688203569673533e-04,-2.238359400839051716e-04,-3.184633069985842724e-04,-4.451152929343393794e-04,-3.705369522122303749e-04,-1.902302736960237439e-04,-3.419099030672612116e-04,-4.783509269579155898e-05,-2.476862078197861194e-04,-1.845452310340611746e-04,-1.960498735806837090e-04,8.664220468761264435e-03,3.014950441025772074e-03,1.016018824485221024e-02,2.310517804210441076e-02,1.975031539634190120e-02,9.361748638923431121e-03,1.506235957259535914e-02,1.878014931198523224e-02,1.773208668070583305e-02,1.744174500579926887e-02,2.734522872103940447e-02,2.051865860930557253e-03,1.602898490483298591e-02,1.297331581429801532e-02,1.984768608001284337e-02,2.218458248757791684e-02,1.688230616884061480e-02,1.550849434123052805e-03,2.505082133897293482e-03,1.831631078259125800e-02,5.672284916626115815e-03,7.224904726832060559e-03,6.739821684653726080e-03,1.283699685720076332e-02,8.172055922321475388e-03,1.351328051453182764e-02,1.178008234560039107e-02,1.676015022024290174e-02,2.342561611011630823e-02,1.950069237099127939e-02,1.001147665529157280e-02,1.799410233851983856e-02,2.517474766360680224e-03,1.303527897661494600e-02,9.712283100087405752e-03,1.031775171475719267e-02
1.800000000000000000e+01,1.799999999999999933e-01,-2.908454370245117104e-04,-3.464512093360738731e-04,-3.739008827818857128e-04,-4.371427774847447267e-04,-4.459226362709678426e-04,-3.040993234675326562e-04,-1.039373811590582619e-02,-1.081665146708266079e-02,-5.978377407824808643e-04,-2.117930686451607869e-04,-9.585183764260207795e-04,-3.846654606034505264e-04,-4.279592470304294238e-04,-2.050652075071823788e-04,-6.681775289867353251e-04,-1.888847014677175196e-04,-2.520256782543306429e-04,-3.996349516368624677e-04,-3.818061196181332662e-05,-5.590179820118557075e-04,-1.303859488670511269e-04,-1.297468020591274751e-04,-1.403095440468682398e-04,-4.426596236188906630e-04,-5.358068610834543222e-04,-5.534674965725905338e-04,-5.327793235712086073e-04,-2.336922566517074529e-04,-7.371044663524450868e-04,-4.515404003218037587e-04,-3.465857665587712688e-04,-7.808355637539676763e-04,-9.116251842877787226e-05,-4.897546515891804120e-04,-4.228460725652638530e-04,8.073433366284632484e-07,1.530667146976741853e-02,1.823310310748996535e-02,1.967772997764447376e-02,2.300603698237394662e-02,2.346810513570840237e-02,1.600419963990621502e-02,5.470037154805419410e-01,5.692608833868639806e-01,3.146312345142342898e-02,1.114628771381467702e-02,5.044509563494187915e-02,2.024425031886457893e-02,2.252272431625513410e-02,1.079221250057840406e-02,3.516497980616075519e-02,9.940661612606923464e-03,1.326365748918120757e-02,2.103206766838949110e-02,2.009376835315093788e-03,2.942010947081384262e-02,6.861977633204698751e-03,6.828340487956951338e-03,7.384238572796563219e-03,2.329637865728051080e-02,2.819854998502366317e-02,2.912799741987113014e-02,2.803921613905915877e-02,1.229880253302647122e-02,3.879248036614114242e-02,2.376375793879352549e-02,1.824018461175141992e-02,4.109396925242232018e-02,4.797719139834125818e-03,2.577490515016813907e-02,2.225362715417967402e-02,-4.248902559209224674e-05
1.500000000000000000e+01,1.499999999999999944e-01,-4.768371582031250000e-04,-2.288818359375000000e-04,-4.495893205915812985e-04,-8.119855608259562985e-04,-7.438659667968750000e-04,-4.986354282920935077e-04,-6.185259137834187015e-04,-6.130763462608435077e-04,-7.683890206475751938e-04,-8.010864257812500000e-04,-9.727478027343750000e-04,-2.970014299665812985e-04,-6.839207240512124031e-04,-7.084437779023566861e-04,-1.133510044642793702e-03,-8.692060198098872092e-04,-7.411411830355874031e-04,-2.997262137274248062e-04,-3.787449428012124031e-04,-8.692060198098872092e-04,-6.375994001115437015e-04,-6.212506975447062985e-04,-6.076267787391564923e-04,-5.858285086497438954e-04,-7.738385881697062985e-04,-7.002694266180498062e-04,-7.629394531250000000e-04,-5.776541573658811046e-04,-7.547651018415812985e-04,-4.986354282925375969e-04,-2.534048897882001938e-04,-6.566728864401127908e-04,-5.231584821427937015e-04,-4.877362932478312985e-04,-4.850115094869877908e-04,-3.978184291297814923e-04,2.509508074069466410e-02,1.204563875553343877e-02,2.366107612694402090e-02,4.273333748987196562e-02,3.914832595548367600e-02,2.624228443168115377e-02,3.255190473221202668e-02,3.226510380944787315e-02,4.043893010787561609e-02,4.215973564436703569e-02,5.119396471101711477e-02,1.563065028992172839e-02,3.599351580521824301e-02,3.728411995763355330e-02,5.965459193216226391e-02,4.574474717873195512e-02,3.900492549410160270e-02,1.577405075128043496e-02,1.993266413117365451e-02,4.574474717873195512e-02,3.355570796183981325e-02,3.269530519359409998e-02,3.197830288673046695e-02,3.083109919572060362e-02,4.072573103061639249e-02,3.685391857346394934e-02,4.015212918511146256e-02,3.040089781157437679e-02,3.972192780098860593e-02,2.624228443170452743e-02,1.333624290792537713e-02,3.455951119149097001e-02,2.753288858407309386e-02,2.566868258619959403e-02,2.552528212484089093e-02,2.093646736082481474e-02
1.200000000000000000e+01,1.199999999999999956e-01,-5.896432059149248062e-04,-5.705697195872438954e-04,-8.953639439175375969e-04,-1.348767961774299806e-03,-1.133510044642793702e-03,-8.915492466519125969e-04,-9.569440569192622092e-04,-1.100812639508674806e-03,-1.602172851562500000e-03,-1.469203404017793702e-03,-1.380920410156250000e-03,-7.035391671319501938e-04,-7.422310965399248062e-04,-9.286063058033811046e-04,-1.396724155971362791e-03,-1.418522426059887209e-03,-1.055036272321618895e-03,-4.817417689730874031e-04,-6.185259137834187015e-04,-1.267569405691837403e-03,-1.238141741071174806e-03,-1.166752406529081298e-03,-8.604867117747438954e-04,-8.016313825334187015e-04,-9.395054408480874031e-04,-1.192910330636287597e-03,-1.010349818638456298e-03,-6.991795131137124031e-04,-1.155308314732206298e-03,-6.272452218190061046e-04,-4.615783691406250000e-04,-7.781982421875000000e-04,-7.356916155130122092e-04,-7.754734584266564923e-04,-7.378714425230192830e-04,-6.212506975447062985e-04,3.103185984162279074e-02,3.002805661201837437e-02,4.712139160796248449e-02,7.098322838080869945e-02,5.965459193216226391e-02,4.692063096203692718e-02,5.036224203501977331e-02,5.793378639564746718e-02,8.431947128873407138e-02,7.732152877361130050e-02,7.267535382505174724e-02,3.702599912714114178e-02,3.906228567864507978e-02,4.887087723672564610e-02,7.350707650104909563e-02,7.465428019201220122e-02,5.552465864456415656e-02,2.535320157116370196e-02,3.255190473221202668e-02,6.670989463182851187e-02,6.516116964896753738e-02,6.140407756094879571e-02,4.528586570236073361e-02,4.218841573663877770e-02,4.944447908223058297e-02,6.278072199015595489e-02,5.317289107800094589e-02,3.679655838892047226e-02,6.080179562317212377e-02,3.301078620860661839e-02,2.429203815699243485e-02,4.095517176881369181e-02,3.871812457133744917e-02,4.081177130745498871e-02,3.883284494049452779e-02,3.269530519359409998e-02
9.000000000000000000e+00,8.999999999999999667e-02,-1.266760760188390122e-03,-2.046839982133619174e-03,-3.001393261043983074e-03,-3.189315444313223225e-03,-2.596631028135565344e-03,-1.741576304633341010e-03,-1.933541715419817564e-03,-3.315446563580071171e-03,-4.290391772573620699e-03,-4.389714535480315760e-03,-3.606383152272130133e-03,-1.981445171865825472e-03,-1.977841425601312153e-03,-3.080763575118883324e-03,-4.630813950218026775e-03,-4.610773605135509712e-03,-3.584409089681717120e-03,-2.283192999351868480e-03,-1.379355856899522337e-03,-2.705973963583740982e-03,-3.453092091643572559e-03,-3.329246274886621393e-03,-2.771280877601256520e-03,-1.988652664395740288e-03,-1.329342890445062153e-03,-1.894779469010732242e-03,-2.256472539242437847e-03,-2.286093575613712403e-03,-2.164357268865213513e-03,-1.307105139103814651e-03,-4.061685729137565204e-04,-9.155273437500000000e-04,-1.127708892119105855e-03,-1.020211777928992092e-03,-9.415446338572053264e-04,-7.564351305986427576e-04,6.666733707554224619e-02,1.077215014209196020e-01,1.579579211156828811e-01,1.678479271292249164e-01,1.366560138694072890e-01,9.165602392554464406e-02,1.017588177205179661e-01,1.744859807445167388e-01,2.257955909889102775e-01,2.310227690971033698e-01,1.897974493623616477e-01,1.042798903479133926e-01,1.040902316732041227e-01,1.621350377808976340e-01,2.437113970181675748e-01,2.426567097538354922e-01,1.886409940286676579e-01,1.201603349899094675e-01,7.259301420527745907e-02,1.424105356097781216e-01,1.817300169546261779e-01,1.752122346940645226e-01,1.458475208614539720e-01,1.046592076973786728e-01,6.996092186585937955e-02,9.971883051190297276e-02,1.187540853041644945e-01,1.203129870939523144e-01,1.139062245454132982e-01,6.879058906817422936e-02,2.137592038760843458e-02,4.818255502213375507e-02,5.934928772407658398e-02,5.369190823176062805e-02,4.955179813723567528e-02,3.980981840635935270e-02
6.000000000000000000e+00,5.999999999999999778e-02,-1.593317304338537355e-03,-3.405026027134550048e-03,-5.614553179059900145e-03,-5.787985665457462403e-03,-4.211017063685762452e-03,-2.280371529715274903e-03,-2.642767769949649903e-03,-5.878584725516056153e-03,-9.767804827009118895e-03,-1.019205365862152490e-02,-6.800515311105037597e-03,-2.943856375558162597e-03,-2.725737435476993653e-03,-5.973134722028650145e-03,-1.036916460309722510e-02,-1.102897099086197485e-02,-7.234982081822050048e-03,-3.553118024553381105e-03,-1.670564923967443605e-03,-4.335403442382812500e-03,-6.841250828334199952e-03,-7.228851318359375000e-03,-4.915509905134118895e-03,-2.626691545759118895e-03,-1.166479928152774903e-03,-2.420561654226993653e-03,-3.459794180733943847e-03,-3.544943673269962403e-03,-2.915791102818143798e-03,-1.536233084542537597e-03,-2.758843558177126454e-04,-8.068084716796875000e-04,-1.062120710100256105e-03,-6.993157523020876454e-04,-6.986345563619877908e-04,-5.301066807339438469e-04,8.385341978925400785e-02,1.792003865577695421e-01,2.954838206870865069e-01,3.046112600536139414e-01,2.216182430326056330e-01,1.200118461250639784e-01,1.390841074879919093e-01,3.093793253943459276e-01,5.140619739385370313e-01,5.363894257746698591e-01,3.578988715007251908e-01,1.549298584699867753e-01,1.434506515368727808e-01,3.143553214040888943e-01,5.457104557640840570e-01,5.804348774861199933e-01,3.807640750670290841e-01,1.869942016335090773e-01,8.791882286924654344e-02,2.281644740943958860e-01,3.600427083982774001e-01,3.804414240289311078e-01,2.586944323212281294e-01,1.382380447658937694e-01,6.138973751480124308e-02,1.273897998628281958e-01,1.820827358314184019e-01,1.865640002493862137e-01,1.534528337178168167e-01,8.084918012345611305e-02,1.451929671426907195e-02,4.246087661325537166e-02,5.589749984412015205e-02,3.680372841200593714e-02,3.676787829667210045e-02,2.789855976059037526e-02
3.000000000000000000e+00,2.999999999999999889e-02,-2.452305385043374031e-04,-3.692081996372831298e-03,-9.134383428664794025e-03,-9.860992431640625000e-03,-5.687531970796300129e-03,-1.941862560453699871e-03,-1.861935570126593831e-03,-9.302411760602424806e-03,-2.375648135230656877e-02,-2.600533621651779370e-02,-1.334054129464279370e-02,-3.197987874349106363e-03,-2.176193963913330975e-03,-1.043228876023061247e-02,-2.673285348074783130e-02,-2.994991484142461857e-02,-1.498812720889119987e-02,-4.230680919828699871e-03,-6.930033365883936369e-04,-5.978175571986543702e-03,-1.375289190383188753e-02,-1.518521990094878760e-02,-8.120763869512881428e-03,-2.440497988746237468e-03,-1.816522507080975402e-06,-1.846495128813074871e-03,-4.076276506696618895e-03,-4.242488316127168702e-03,-2.628508068266199871e-03,-7.910955519907503231e-04,7.438659667968750000e-04,3.487723214283811046e-04,-6.176176525274357232e-05,3.242492675781250000e-04,2.107166108626934431e-04,3.415062313987249354e-04,1.290604152377915030e-02,1.943076251636677299e-01,4.807261466841450948e-01,5.189662697175656536e-01,2.993245630442564753e-01,1.021967288068581226e-01,9.799031527319425339e-02,4.895691751355956689e-01,1.250260822578305175e+00,1.368614003366795950e+00,7.020886588939456718e-01,1.683043415009333466e-01,1.145291684851323516e-01,5.490325664526052307e-01,1.406901926554033899e+00,1.576210071284571690e+00,7.887981378722641601e-01,2.226531163621925102e-01,3.647151734313511945e-02,3.146206122576200581e-01,7.237899287154281325e-01,7.991707712451001644e-01,4.273811750524903474e-01,1.284390132385626604e-01,9.560030756467883682e-05,9.717771265871918973e-02,2.145270902176055483e-01,2.232745183614914808e-01,1.383336450734584389e-01,4.163393395267950270e-02,-3.914832595548367600e-02,-1.835525905604093802e-02,3.250410457830114116e-03,-1.706465490367237159e-02,-1.108963567967630529e-02,-1.797285782571210813e-02
