distance_cm,distance_m,magnetic_field_t,pad_01_voltage_v,pad_02_voltage_v,pad_03_voltage_v,pad_04_voltage_v,pad_05_voltage_v,pad_06_voltage_v,pad_07_voltage_v,pad_08_voltage_v,pad_09_voltage_v,pad_10_voltage_v,pad_11_voltage_v,pad_12_voltage_v,pad_13_voltage_v,pad_14_voltage_v,pad_15_voltage_v,pad_16_voltage_v,pad_17_voltage_v,pad_18_voltage_v,pad_19_voltage_v,pad_20_voltage_v,pad_21_voltage_v,pad_22_voltage_v,pad_23_voltage_v,pad_24_voltage_v,pad_25_voltage_v,pad_26_voltage_v,pad_27_voltage_v,pad_28_voltage_v,pad_29_voltage_v,pad_30_voltage_v,pad_31_voltage_v,pad_32_voltage_v,pad_33_voltage_v,pad_34_voltage_v,pad_35_voltage_v,pad_36_voltage_v
5.000000000000000000e+01,5.000000000000000000e-01,1.295999999999999991e-08,2.487869262695312500e+00,2.489089965820312500e+00,2.475357055664062500e+00,2.491989135742187500e+00,2.491073608398437500e+00,2.515258789062500000e+00,2.493133544921875000e+00,2.512130737304687500e+00,2.493591308593750000e+00,2.469482421875000000e+00,2.498397827148437500e+00,2.501983642578125000e+00,2.488098144531250000e+00,2.504577636718750000e+00,2.507095336914062500e+00,2.479400634765625000e+00,2.488708496093750000e+00,2.493820190429687500e+00,2.486343383789062500e+00,2.505035400390625000e+00,2.470550537109375000e+00,2.494812011718750000e+00,2.494049072265625000e+00,2.488479614257812500e+00,2.496566772460937500e+00,2.492294311523437500e+00,2.482833862304687500e+00,2.496109008789062500e+00,2.487182617187500000e+00,2.504730224609375000e+00,2.493209838867187500e+00,2.505493164062500000e+00,2.488861083984375000e+00,2.513656616210937500e+00,2.501983642578125000e+00,2.487182617187500000e+00
4.900000000000000000e+01,4.899999999999999911e-01,1.376977279874882208e-08,2.488327026367187500e+00,2.489318847656250000e+00,2.474517822265625000e+00,2.492294311523437500e+00,2.491226196289062500e+00,2.514801025390625000e+00,2.492065429687500000e+00,2.510604858398437500e+00,2.493743896484375000e+00,2.469482421875000000e+00,2.498931884765625000e+00,2.502670288085937500e+00,2.488327026367187500e+00,2.505645751953125000e+00,2.507781982421875000e+00,2.480316162109375000e+00,2.488708496093750000e+00,2.493667602539062500e+00,2.486267089843750000e+00,2.504806518554687500e+00,2.470016479492187500e+00,2.493591308593750000e+00,2.493362426757812500e+00,2.488174438476562500e+00,2.496948242187500000e+00,2.492980957031250000e+00,2.482681274414062500e+00,2.496109008789062500e+00,2.487182617187500000e+00,2.504043579101562500e+00,2.492980957031250000e+00,2.505035400390625000e+00,2.489242553710937500e+00,2.514190673828125000e+00,2.503051757812500000e+00,2.487869262695312500e+00
4.800000000000000000e+01,4.799999999999999822e-01,1.464843750000000203e-08,2.487640380859375000e+00,2.488403320312500000e+00,2.474288940429687500e+00,2.491912841796875000e+00,2.491455078125000000e+00,2.515029907226562500e+00,2.492523193359375000e+00,2.510604858398437500e+00,2.493743896484375000e+00,2.469635009765625000e+00,2.499008178710937500e+00,2.502365112304687500e+00,2.487869262695312500e+00,2.506179809570312500e+00,2.507781982421875000e+00,2.480926513671875000e+00,2.487945556640625000e+00,2.493362426757812500e+00,2.485733032226562500e+00,2.504653930664062500e+00,2.470169067382812500e+00,2.494354248046875000e+00,2.494125366210937500e+00,2.488174438476562500e+00,2.495880126953125000e+00,2.491836547851562500e+00,2.481918334960937500e+00,2.496490478515625000e+00,2.488250732421875000e+00,2.505340576171875000e+00,2.493438720703125000e+00,2.505264282226562500e+00,2.488784790039062500e+00,2.514495849609375000e+00,2.503204345703125000e+00,2.488098144531250000e+00
4.700000000000000000e+01,4.699999999999999734e-01,1.560347899790990780e-08,2.487411499023437500e+00,2.488784790039062500e+00,2.475051879882812500e+00,2.492599487304687500e+00,2.491531372070312500e+00,2.514877319335937500e+00,2.492370605468750000e+00,2.511215209960937500e+00,2.493133544921875000e+00,2.469863891601562500e+00,2.498626708984375000e+00,2.502212524414062500e+00,2.487716674804687500e+00,2.504806518554687500e+00,2.507629394531250000e+00,2.480239868164062500e+00,2.489013671875000000e+00,2.493820190429687500e+00,2.486953735351562500e+00,2.504119873046875000e+00,2.469482421875000000e+00,2.493667602539062500e+00,2.494201660156250000e+00,2.488479614257812500e+00,2.495117187500000000e+00,2.491149902343750000e+00,2.481613159179687500e+00,2.496795654296875000e+00,2.488327026367187500e+00,2.505264282226562500e+00,2.493667602539062500e+00,2.504806518554687500e+00,2.488861083984375000e+00,2.513504028320312500e+00,2.502670288085937500e+00,2.488250732421875000e+00
4.600000000000000000e+01,4.600000000000000200e-01,1.664337963343470069e-08,2.487945556640625000e+00,2.488479614257812500e+00,2.474670410156250000e+00,2.492828369140625000e+00,2.491607666015625000e+00,2.515411376953125000e+00,2.492446899414062500e+00,2.511444091796875000e+00,2.493438720703125000e+00,2.469635009765625000e+00,2.498855590820312500e+00,2.502441406250000000e+00,2.488861083984375000e+00,2.505340576171875000e+00,2.507629394531250000e+00,2.480392456054687500e+00,2.488784790039062500e+00,2.493820190429687500e+00,2.486267089843750000e+00,2.504043579101562500e+00,2.469558715820312500e+00,2.493667602539062500e+00,2.494354248046875000e+00,2.488250732421875000e+00,2.495193481445312500e+00,2.491912841796875000e+00,2.482147216796875000e+00,2.496185302734375000e+00,2.487335205078125000e+00,2.504959106445312500e+00,2.493057250976562500e+00,2.504806518554687500e+00,2.488555908203125000e+00,2.514114379882812500e+00,2.502975463867187500e+00,2.488098144531250000e+00
4.500000000000000000e+01,4.500000000000000111e-01,1.777777777777777705e-08,2.488174438476562500e+00,2.488555908203125000e+00,2.474899291992187500e+00,2.491836547851562500e+00,2.490921020507812500e+00,2.515411376953125000e+00,2.492599487304687500e+00,2.511215209960937500e+00,2.493362426757812500e+00,2.469253540039062500e+00,2.498550415039062500e+00,2.502670288085937500e+00,2.488479614257812500e+00,2.505569458007812500e+00,2.507781982421875000e+00,2.480468750000000000e+00,2.488250732421875000e+00,2.493667602539062500e+00,2.485809326171875000e+00,2.504348754882812500e+00,2.469711303710937500e+00,2.493515014648437500e+00,2.493896484375000000e+00,2.488021850585937500e+00,2.496337890625000000e+00,2.492370605468750000e+00,2.482757568359375000e+00,2.496566772460937500e+00,2.488403320312500000e+00,2.505722045898437500e+00,2.494125366210937500e+00,2.505187988281250000e+00,2.488937377929687500e+00,2.514038085937500000e+00,2.502517700195312500e+00,2.487335205078125000e+00
4.400000000000000000e+01,4.400000000000000022e-01,1.901765589782118952e-08,2.488098144531250000e+00,2.488327026367187500e+00,2.474670410156250000e+00,2.491760253906250000e+00,2.491073608398437500e+00,2.514877319335937500e+00,2.492675781250000000e+00,2.511062622070312500e+00,2.493896484375000000e+00,2.470016479492187500e+00,2.499160766601562500e+00,2.502593994140625000e+00,2.488098144531250000e+00,2.505187988281250000e+00,2.507171630859375000e+00,2.480316162109375000e+00,2.487182617187500000e+00,2.494430541992187500e+00,2.486495971679687500e+00,2.505187988281250000e+00,2.470626831054687500e+00,2.494812011718750000e+00,2.494201660156250000e+00,2.488021850585937500e+00,2.496871948242187500e+00,2.492904663085937500e+00,2.482376098632812500e+00,2.495803833007812500e+00,2.486724853515625000e+00,2.504119873046875000e+00,2.492599487304687500e+00,2.504730224609375000e+00,2.489395141601562500e+00,2.514648437500000000e+00,2.503356933593750000e+00,2.488021850585937500e+00
4.300000000000000000e+01,4.299999999999999933e-01,2.037556441571182595e-08,2.487182617187500000e+00,2.488250732421875000e+00,2.474822998046875000e+00,2.492675781250000000e+00,2.491836547851562500e+00,2.515411376953125000e+00,2.492218017578125000e+00,2.511596679687500000e+00,2.494125366210937500e+00,2.469787597656250000e+00,2.499084472656250000e+00,2.501602172851562500e+00,2.487792968750000000e+00,2.504196166992187500e+00,2.507019042968750000e+00,2.480087280273437500e+00,2.487792968750000000e+00,2.494812011718750000e+00,2.486343383789062500e+00,2.505722045898437500e+00,2.471084594726562500e+00,2.494125366210937500e+00,2.494354248046875000e+00,2.488327026367187500e+00,2.495880126953125000e+00,2.492141723632812500e+00,2.482452392578125000e+00,2.495498657226562500e+00,2.487258911132812500e+00,2.504806518554687500e+00,2.492828369140625000e+00,2.504730224609375000e+00,2.489089965820312500e+00,2.514419555664062500e+00,2.502975463867187500e+00,2.488403320312500000e+00
4.200000000000000000e+01,4.199999999999999845e-01,2.186588921282799285e-08,2.487335205078125000e+00,2.488021850585937500e+00,2.474746704101562500e+00,2.492675781250000000e+00,2.491531372070312500e+00,2.515563964843750000e+00,2.492675781250000000e+00,2.511062622070312500e+00,2.493820190429687500e+00,2.470474243164062500e+00,2.499465942382812500e+00,2.502136230468750000e+00,2.488632202148437500e+00,2.504882812500000000e+00,2.508010864257812500e+00,2.480621337890625000e+00,2.488555908203125000e+00,2.493743896484375000e+00,2.485580444335937500e+00,2.504577636718750000e+00,2.470397949218750000e+00,2.494049072265625000e+00,2.493896484375000000e+00,2.488174438476562500e+00,2.496261596679687500e+00,2.492065429687500000e+00,2.482223510742187500e+00,2.495956420898437500e+00,2.487640380859375000e+00,2.505722045898437500e+00,2.493743896484375000e+00,2.505645751953125000e+00,2.489089965820312500e+00,2.513961791992187500e+00,2.502288818359375000e+00,2.487869262695312500e+00
4.100000000000000000e+01,4.099999999999999756e-01,2.350517258890614460e-08,2.488250732421875000e+00,2.488784790039062500e+00,2.474594116210937500e+00,2.491989135742187500e+00,2.490692138671875000e+00,2.514343261718750000e+00,2.492370605468750000e+00,2.511062622070312500e+00,2.494277954101562500e+00,2.470092773437500000e+00,2.499389648437500000e+00,2.501983642578125000e+00,2.488327026367187500e+00,2.505340576171875000e+00,2.509002685546875000e+00,2.480545043945312500e+00,2.487182617187500000e+00,2.494049072265625000e+00,2.485351562500000000e+00,2.505493164062500000e+00,2.470321655273437500e+00,2.494354248046875000e+00,2.493438720703125000e+00,2.488555908203125000e+00,2.496643066406250000e+00,2.492599487304687500e+00,2.482681274414062500e+00,2.495727539062500000e+00,2.487335205078125000e+00,2.504501342773437500e+00,2.493362426757812500e+00,2.505035400390625000e+00,2.489547729492187500e+00,2.514877319335937500e+00,2.503662109375000000e+00,2.488327026367187500e+00
