pad,sensitivity_v_per_t,sensitivity_mv_per_ut,intercept_v,r_squared
1.000000000000000000e+00,-1.504127250388953563e+01,-1.504127250388953563e-02,2.487686999684457057e+00,1.067589527440182540e-02
2.000000000000000000e+00,5.310810232484287496e+01,5.310810232484287213e-02,2.488479762760995584e+00,1.023427922711167559e-01
3.000000000000000000e+00,1.226319562416987736e+02,1.226319562416987724e-01,2.475065355850385895e+00,3.320325264040434599e-01
4.000000000000000000e+00,1.056938846714460425e+02,1.056938846714460395e-01,2.492556672837441756e+00,2.739666438320876862e-01
5.000000000000000000e+00,4.561583378859587867e+01,4.561583378859588450e-02,2.491601866034596657e+00,1.133576729468269706e-01
6.000000000000000000e+00,6.828122632101493394e+00,6.828122632101493381e-03,2.515158513008744823e+00,2.663116624400996280e-03
7.000000000000000000e+00,7.043327164395873297e+01,7.043327164395872531e-02,2.492931351716037636e+00,1.675335024068381751e-01
8.000000000000000000e+00,2.332951363529439277e+02,2.332951363529439104e-01,2.511649800228103135e+00,4.708506848434068637e-01
9.000000000000000000e+00,6.554808977231147082e+02,6.554808977231147971e-01,2.494386261616696299e+00,7.438780704980243463e-01
1.000000000000000000e+01,6.174309315625298495e+02,6.174309315625299277e-01,2.470019558615574429e+00,7.640396872872056155e-01
1.100000000000000000e+01,2.286118808813748160e+02,2.286118808813748238e-01,2.499294986287484477e+00,4.949530975677659539e-01
1.200000000000000000e+01,-4.176164907941937088e+01,-4.176164907941937177e-02,2.502193554639298601e+00,7.394344227335525321e-02
1.300000000000000000e+01,6.542637933823966989e+01,6.542637933823967911e-02,2.488469347167115764e+00,6.709018461496307761e-02
1.400000000000000000e+01,6.732123201505311272e+02,6.732123201505311183e-01,2.505682645425497679e+00,6.370029512469723709e-01
1.500000000000000000e+01,2.559546217826536122e+03,2.559546217826536019e+00,2.508151493507928986e+00,9.380703938789720642e-01
1.600000000000000000e+01,2.878353186023032322e+03,2.878353186023032251e+00,2.480548368437677897e+00,9.640996798035159632e-01
1.700000000000000000e+01,6.780475857290147133e+02,6.780475857290148012e-01,2.488829655858057155e+00,7.473901417919668333e-01
1.800000000000000000e+01,-4.855110396043809118e+00,-4.855110396043809014e-03,2.494128784032349611e+00,6.179470083776950062e-04
1.900000000000000000e+01,4.318243830574808584e+01,4.318243830574809011e-02,2.486808427335314153e+00,1.521937951729335214e-02
2.000000000000000000e+01,6.356046706225318985e+02,6.356046706225318976e-01,2.506260208844319326e+00,4.557728718322697770e-01
2.100000000000000000e+01,4.857904923053579296e+03,4.857904923053579793e+00,2.470248815166675715e+00,9.812255705723942345e-01
2.200000000000000000e+01,5.515943663481038129e+03,5.515943663481038151e+00,2.493933310584250496e+00,9.868999217674944147e-01
2.300000000000000000e+01,3.625792066482744076e+02,3.625792066482744214e-01,2.494944147865612472e+00,3.005674610822219872e-01
2.400000000000000000e+01,-1.828928968412418499e+02,-1.828928968412418532e-01,2.488776114092818847e+00,3.849718454446812155e-01
2.500000000000000000e+01,-1.521085822435794910e+02,-1.521085822435794821e-01,2.496756085157570748e+00,1.952414483502470377e-01
2.600000000000000000e+01,-1.667613351866672247e+02,-1.667613351866672200e-01,2.493263430238725764e+00,7.120122804012851692e-02
2.700000000000000000e+01,-1.300793673234974506e+02,-1.300793673234974523e-01,2.484184420744030231e+00,1.377949923007404376e-02
2.800000000000000000e+01,-4.995272253187148976e+02,-4.995272253187149070e-01,2.497974806587723418e+00,1.798557449780293638e-01
2.900000000000000000e+01,-5.813993973289822179e+02,-5.813993973289822703e-01,2.488667321175872083e+00,5.956998057920368517e-01
3.000000000000000000e+01,-3.124662940798045270e+02,-3.124662940798045296e-01,2.505345808463933288e+00,7.118500236980567220e-01
3.100000000000000000e+01,-2.167926462859736034e+02,-2.167926462859736114e-01,2.493731431525666231e+00,5.073690687535732380e-01
3.200000000000000000e+01,-3.914058317476004731e+02,-3.914058317476004634e-01,2.505722005347791104e+00,5.547097323428656912e-01
3.300000000000000000e+01,-6.862193723938438552e+02,-6.862193723938437850e-01,2.490083850361254569e+00,6.283368556341296651e-01
3.400000000000000000e+01,-8.213027800807789163e+02,-8.213027800807789491e-01,2.515025846355904537e+00,7.633344228463746495e-01
3.500000000000000000e+01,-5.403984621080988973e+02,-5.403984621080988315e-01,2.503569524307528660e+00,7.442213555640164735e-01
3.600000000000000000e+01,-2.921133398847682656e+02,-2.921133398847682860e-01,2.488266985820802191e+00,6.762848417232314446e-01
